id,name,university,domain
60754,William F Marzluff,University of North Carolina Chapel Hill,unc.edu
4924,Massimo Mazzotti,University of California Berkeley,berkeley.edu
34749,Michael Sotiropoulos,Northwestern University,northwestern.edu
39922,Werner Hamacher,Princeton University,princeton.edu
16890,Sonia Fahmy,University of Illinois at Urbana-Champaign,illinois.edu
34542,Kornel F Ehmann,Northwestern University,northwestern.edu
65936,Craig Clemons,University of Wisconsin Madison,wisc.edu
3137,Qing Zhang,University of Arizona,arizona.edu
3026,Oliver Li,University of Arizona,arizona.edu
20643,Nathan R Platte,University of Iowa,uiowa.edu
43485,Jennifer Black,State University of New York Buffalo,buffalo.edu
39632,Nathan T Arrington,Princeton University,princeton.edu
61807,Lee E Ohanian,University of Southern California,usc.edu
56093,Robert Horwitz,University of California San Diego,ucsd.edu
50195,David Fitoussi,University of California Irvine,uci.edu
16526,Mimi T Nguyen,University of Illinois at Urbana-Champaign,illinois.edu
60340,Sherri Green,University of North Carolina Chapel Hill,unc.edu
25907,David Cooper,University of Maryland College Park,umd.edu
36980,Dwight L Jaggard,University of Pennsylvania,upenn.edu
53318,David R Clarke,University of California Santa Barbara,ucsb.edu
65259,Michael Knight,Walden University,waldenu.edu
60018,Rebecca Santelli,University of North Carolina Chapel Hill,unc.edu
30915,Uwe Kortshagen,University of Minnesota,umn.edu
51642,Elizabeth Marchant,University of California Los Angeles,ucla.edu
60921,Ann Crigler,University of Southern California,usc.edu
42855,Wei Zheng,Purdue University,purdue.edu
13290,Karen Randolph,Florida State University,fsu.edu
39855,Steven Lubow,Princeton University,princeton.edu
14140,David D W Wang,Harvard University,harvard.edu
34303,Jared Wunsch,Northwestern University,northwestern.edu
25853,Da L Zhang,University of Maryland College Park,umd.edu
22481,Srikanta Tirthapura,Iowa State University,iastate.edu
24458,Katherine L Gross,Michigan State University,msu.edu
1220,Randall Eubank,Arizona State University,asu.edu
23336,Peter J Pronovost,Johns Hopkins University,jhu.edu
56584,Yu H Lo,University of California San Diego,ucsd.edu
42709,Thomas L Robertson,Purdue University,purdue.edu
34722,Michael A Peshkin,Northwestern University,northwestern.edu
46580,Jennie Whitcomb,University of Colorado Boulder,colorado.edu
37255,Jesus F Villaverde,University of Pennsylvania,upenn.edu
46682,John S Fitch,University of Colorado Boulder,colorado.edu
13685,Timothy S Chapin,Florida State University,fsu.edu
42894,William L Pak,Purdue University,purdue.edu
8641,Alexander T Ihler,University of Chicago,uchicago.edu
6376,Donald Vredenburgh,City University of New York,cuny.edu
15587,Benjamin J Lough,University of Illinois at Urbana-Champaign,illinois.edu
52372,Michelle G Craske,University of California Los Angeles,ucla.edu
61501,Igor Kukavica,University of Southern California,usc.edu
58854,Jill Thomley,University of North Carolina Chapel Hill,unc.edu
35452,Bill Horrigan,Ohio State University,osu.edu
62990,Dan Storm,University of Washington,washington.edu
47089,Matthew Sponhimer,University of Colorado Boulder,colorado.edu
23999,Edward Fee,Michigan State University,msu.edu
54588,Carlos Guerrero,University of California San Diego,ucsd.edu
33796,Cassandra L Kisiel,Northwestern University,northwestern.edu
14723,Leila Ahmed,Harvard University,harvard.edu
5512,Tania Lombrozo,University of California Berkeley,berkeley.edu
55002,Gary Fields,University of California San Diego,ucsd.edu
14162,David M Altshuler,Harvard University,harvard.edu
49694,Smriti Srinivas,University of California Davis,ucdavis.edu
51109,William Molzon,University of California Irvine,uci.edu
54446,Andrew Kehler,University of California San Diego,ucsd.edu
57253,Shantanu Dutt,University of Illinois Chicago,uic.edu
7129,Judith Stein,City University of New York,cuny.edu
51157,Abdelmonem A Afifi,University of California Los Angeles,ucla.edu
13983,C T Wu,Harvard University,harvard.edu
32059,Hua Zhong,New York University,nyu.edu
11227,Daniel Lew,Duke University,duke.edu
43289,Elisabeth Etopio,State University of New York Buffalo,buffalo.edu
66909,Mark V Zanden,University of Wisconsin Madison,wisc.edu
31887,Friedrich Ulfers,New York University,nyu.edu
19112,Sabine Lammers,Indiana University Bloomington,indiana.edu
25280,Tom Herdt,Michigan State University,msu.edu
35854,Jennifer S Cheavens,Ohio State University,osu.edu
67300,Robert F Freeland,University of Wisconsin Madison,wisc.edu
26625,John Paden,University of Maryland College Park,umd.edu
1212,Rajeev Misra,Arizona State University,asu.edu
46994,Margaret M Murnane,University of Colorado Boulder,colorado.edu
48415,Dina S Clair,University of California Davis,ucdavis.edu
46484,Jackie Elliott,University of Colorado Boulder,colorado.edu
3928,Charis Thompson,University of California Berkeley,berkeley.edu
7503,Martin Stute,City University of New York,cuny.edu
67517,Susan Cook,University of Wisconsin Madison,wisc.edu
30252,Paula M Ludewig,University of Minnesota,umn.edu
37272,John D Gearhart,University of Pennsylvania,upenn.edu
62502,Vadim Rygalov,University of Southern California,usc.edu
19145,Sarandeep S Huja,Indiana University Bloomington,indiana.edu
38031,Warren B Bilker,University of Pennsylvania,upenn.edu
20888,Stephen Wieting,University of Iowa,uiowa.edu
9016,Emily Oster,University of Chicago,uchicago.edu
41882,Michael J Dyrenfurth,Purdue University,purdue.edu
12217,P V Rao,Duke University,duke.edu
16487,Mian Li,University of Illinois at Urbana-Champaign,illinois.edu
48855,John Horowitz,University of California Davis,ucdavis.edu
41167,Jason I Abrevaya,Purdue University,purdue.edu
52837,Susanne Lohmann,University of California Los Angeles,ucla.edu
62617,Adam P Summers,University of Washington,washington.edu
23338,Peter Maloney,Johns Hopkins University,jhu.edu
63798,Lorna A Rhodes,University of Washington,washington.edu
14848,Maurice A Smith,Harvard University,harvard.edu
